folioviv,sexo_jefe,edad_jefe,educa_jefe,tot_integ,hombres,mujeres,p12_64,p65mas,ocupados,percep_ing,perc_ocupa,total_gasto,total_ingreso
2760813723,1,28,6,4,3,1,2,0,1,1,1,9665.54,19593.06
2760813724,1,27,6,5,2,3,2,0,1,1,1,14642.46,17808.23
2760869016,2,50,6,1,0,1,1,0,1,1,1,16871.15,13369.74
2760869211,2,71,1,2,1,1,0,1,1,1,1,2407.8,11027.07
2760869212,1,29,6,3,2,1,2,0,2,3,2,14512.21,30283.9
2760869214,1,49,3,4,1,3,4,0,2,1,1,8506.42,14182.43
2760869215,1,33,10,2,1,1,2,0,2,1,1,14975.15,42076.240000000005
2760869221,1,21,3,2,1,1,2,0,1,2,1,12468.06,23683.75
2760869223,1,83,3,3,2,1,2,1,0,2,1,3482.9,7977.12
2760869224,2,44,6,5,3,2,3,0,3,4,3,14505.73,29562.989999999998
2760869225,1,50,6,5,3,2,5,0,3,4,2,11868.27,12990.41
2760869801,1,88,3,2,1,1,0,2,0,1,0,1770.76,7439.26
2760869802,1,62,10,4,3,1,3,0,1,1,1,35533.73,50533.09
2760869805,1,39,8,5,4,1,3,0,1,1,1,31412.370000000003,11114.75
2760869907,1,89,1,1,1,0,0,1,0,1,0,25.0,9711.109999999999
2760869908,1,29,6,5,3,2,2,0,1,4,1,9593.15,18877.72
2760869909,1,35,6,4,3,1,3,0,1,1,1,21080.99,13947.05
2760869910,1,32,4,5,4,1,2,0,1,4,1,12629.88,23471.230000000003
2760871301,1,64,3,6,2,4,5,0,4,5,4,38900.35,45339.71
2760871302,1,33,6,4,3,1,2,0,1,1,1,18296.29,17405.92
2760871303,1,26,6,4,3,1,2,0,1,2,1,10170.67,9298.53
2760871304,1,32,6,2,1,1,2,0,1,1,1,6220.08,4935.2
2760871305,1,36,6,5,2,3,5,0,2,5,2,21504.63,20450.24
2760871306,1,59,4,3,1,2,3,0,1,2,1,8392.35,14518.1
2760871307,1,69,3,4,2,2,2,1,1,3,1,18329.18,12894.32
2760871308,1,27,6,4,1,3,2,0,2,2,2,7291.38,17107.53
2760871309,1,39,6,4,2,2,4,0,3,2,2,15620.95,34669.84
2760871310,2,61,6,1,0,1,1,0,0,1,0,3110.29,12456.58
2760871416,1,41,6,5,3,2,5,0,2,5,2,11981.14,21757.309999999998
