folioviv,foliohog,numren,id_trabajo,tipoact,cose_cria,prep_deriv,otro_pago,fpago_1,fpago_2,fpago_3,fpago_4,fpago_5,fpago_6,fpago_7,fpago_8,nofpago,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,valrema,valproc,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,apoyo_5,apoyo_6,apoyo_7,apoyo_8,procampo,mesproc,progan,mesprogan,reg_not,reg_cont,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
401247709,1,1,1,4,1,,2,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,900,0,100,0,221.31,0,24.59,196.72,0
401247709,1,4,1,5,1,1,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,6000,300,2,0,0,0,0,0,0,0,0,0,,0,,2,4,12000,300,0,8300,2950.81,73.77,0,2040.98,983.6,0
401247710,1,1,1,4,1,,2,,,,,,,,,6,1,1,0,1,1,0,0,0,0,0,0,0,0,4000,1,0,0,0,0,0,2280,0,0,3200,5,0,,2,4,52668,172,0,37420,12951.14,42.29,0,9201.63,3791.8,0
401247710,1,1,1,5,1,2,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,12000,25000,2,0,0,0,0,0,0,0,0,0,,0,,2,4,23000,0,0,25500,5655.73,0,0,6270.49,0,614.75
401247712,1,2,2,5,1,1,2,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,840,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,350,0,785,0,86.06,0,193.03,0,106.96
401247813,1,2,2,5,1,1,2,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,420,50,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,1440,0,372,0,354.09,0,91.47,262.62,0
401247817,1,1,2,4,1,,2,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,2,0,0,0,0,0,0,0,0,0,,0,,2,4,6840,3790,0,1360,1681.96,931.96,0,334.42,2279.5,0
401247817,1,2,1,4,1,,2,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,300,2,0,0,0,0,0,0,0,0,0,,0,,2,4,2940,510,0,30,722.95,125.4,0,7.37,840.98,0
401247817,1,2,1,5,1,1,2,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,3900,1550,2,0,0,0,0,0,0,0,0,0,,0,,2,4,1000,5560,0,808,245.9,1367.21,0,198.68,1414.42,0
401247818,1,2,1,5,1,1,2,,,,,,,,,2,2,0,2,0,0,0,2,0,2,0,0,0,150,500,2,0,0,0,0,0,0,0,0,0,,0,,2,4,1400,6900,0,4510,344.26,1696.72,0,1109.01,931.96,0
401282904,1,1,1,4,1,,2,,,,,,,,,6,1,1,0,1,1,0,0,0,0,0,0,0,0,6000,2,0,0,0,0,0,0,0,0,0,,0,,2,4,8220,300,0,4000,2010.32,73.36,0,978.26,1105.43,0
401282904,1,1,1,5,1,2,2,,,,,,,,,6,1,1,0,1,1,0,0,0,0,0,0,0,20000,55000,2,0,0,0,0,0,0,0,0,0,,9000,6,2,4,30000,0,0,72000,7336.95,0,0,17608.69,0,10271.73
401316009,1,2,2,5,1,1,2,,,,,,,,,7,1,1,0,0,0,0,1,1,0,0,0,0,11010,600,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,7050,0,1700,0,1724.18,0,415.76,1308.42,0
401316009,1,3,1,9,1,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,36000,45,0,10272,8804.34,11,0,2512.17,6303.17,0
401316010,1,2,2,5,1,2,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,0,0,240,0,0,0,58.69,0,58.69
401316011,1,1,2,5,1,2,2,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,200,640,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,320,0,330,0,78.26,0,80.7,0,2.44
401316414,1,1,2,5,1,2,2,,,,,,,,,6,1,1,0,1,1,0,0,0,0,0,0,0,185000,45000,2,0,0,0,0,0,0,0,0,0,,0,,2,4,47000,0,0,15000,11494.56,0,0,3668.47,7826.08,0
401316415,1,1,1,9,1,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,350,0,,0,,2,4,58528,1536,0,11860,14313.91,375.65,0,2900.54,11789.02,0
401316417,1,1,1,9,1,,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,36404,2000,0,12767,8903.15,489.13,0,3122.36,6269.91,0
401316417,1,1,2,5,1,2,2,,,,,,,,,6,3,3,0,0,0,0,0,0,0,3,3,0,6667,4000,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,0,0,2007,0,0,0,490.84,0,490.84
401331309,1,2,1,5,1,1,2,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,50,160,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,1000,0,1133,0,244.56,0,277.09,0,32.52
401331310,1,2,2,5,1,2,2,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,800,350,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,0,0,1415,0,0,0,346.05,0,346.05
401331312,1,1,2,4,1,,2,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,282,0,1900,0,68.96,0,464.67,0,395.7
401331312,1,2,2,5,1,1,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,225,160,2,0,0,0,0,0,0,0,0,0,,0,,2,4,990,1200,0,2520,242.11,293.47,0,616.3,0,80.7
401381013,1,1,1,4,1,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,2,0,0,0,0,0,0,0,0,2600,2,0,,2,4,15000,5850,0,6820,3668.47,1430.7,0,1667.93,3431.24,0
401381601,1,1,1,5,1,1,2,,,,,,,,,6,1,1,0,0,0,0,1,1,0,0,0,0,120,400,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,760,0,1000,0,186.88,0,245.9,0,59.01
401384703,1,1,2,5,1,1,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,120,420,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,30,0,300,0,7.37,0,73.77,0,66.39
401384704,1,2,2,5,1,1,2,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,1440,260,2,0,0,0,0,0,0,0,0,0,,0,,2,4,720,1080,0,1920,177.04,265.57,0,472.13,0,29.5
401384808,1,3,2,5,1,2,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,900,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,900,0,1080,0,221.31,0,265.57,0,44.26
401386024,1,1,1,4,1,,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,0,0,700,0,0,0,171.19,0,171.19
401386515,1,1,2,4,1,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,2,0,0,0,0,0,0,0,0,0,,0,,2,4,1950,2222,0,2200,476.9,543.42,0,538.04,482.28,0
401386517,1,1,1,5,1,1,1,,,,,5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,300000,50000,1,0,0,0,0,0,0,0,0,0,,4500,8,2,3,49000,0,0,127500,11983.69,0,0,31182.06,0,19198.36
401386607,1,1,2,4,1,,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,30985,1,0,0,0,0,0,2100,0,0,5850,6,0,,2,3,20800,9000,0,31710,5114.75,2213.11,0,7797.54,0,469.67
401386612,1,1,1,4,1,,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,46655,1,0,0,0,0,0,2100,0,0,6300,6,0,,2,3,52000,27000,0,53375,12786.88,6639.34,0,13124.99,6301.22,0
401386612,1,2,1,5,1,1,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,490,550,2,0,0,0,0,0,0,0,0,0,,0,,2,4,144,232,0,442,35.4,57.04,0,108.68,0,16.22
401386902,1,1,1,4,1,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23460,2,0,0,0,0,0,0,0,0,5400,5,0,,2,4,0,0,0,21660,0,0,0,5297.28,0,5297.28
401386902,1,1,1,5,1,2,2,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,92500,99900,2,0,0,0,0,0,0,0,0,0,,0,,2,4,40700,11100,0,1760,9953.8,2714.67,0,430.43,12238.04,0
401386905,1,2,1,5,1,2,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,600,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,600,0,155,0,146.73,0,37.9,108.83,0
401403319,1,2,1,5,1,1,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,7150,2130,2,0,0,0,0,0,0,0,0,0,,0,,2,4,6450,7590,0,2760,1577.44,1856.24,0,674.99,2758.69,0
401403320,1,1,1,4,1,,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,900,2,0,0,0,0,0,0,0,0,0,,0,,2,4,2875,8625,0,3200,703.12,2109.37,0,782.6,2029.89,0
401403321,1,1,1,5,1,1,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,2120,0,4068,0,518.47,0,994.89,0,476.41
401403403,1,1,2,4,1,,2,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,0,0,1290,0,0,0,315.48,0,315.48
401403403,1,2,2,5,1,1,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,900,850,2,0,0,0,0,0,0,0,0,0,,0,,2,4,2500,1100,0,2880,611.41,269.02,0,704.34,176.08,0
401403405,1,2,1,5,1,1,2,,,,,,,,,6,2,0,2,0,0,0,2,0,2,0,0,0,800,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,80,290,0,95,19.56,70.92,0,23.23,67.25,0
401403709,1,2,1,5,1,1,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,3100,600,2,0,0,0,0,0,0,0,0,0,,0,,2,4,60,1435,0,2160,14.75,352.86,0,531.14,0,163.52
401403813,1,2,2,5,1,2,2,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,150,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,0,0,384,0,0,0,94.42,0,94.42
401403815,1,1,2,4,1,,2,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2,0,0,0,0,0,0,0,0,0,,0,,2,4,1430,260,0,1520,351.63,63.93,0,373.77,41.8,0
