folioviv,foliohog,clave,gasto,pago_mp,gasto_tri
601143702,1,TB11,1200,0,590.16
601143702,1,TB08,2500,1400,2445.65
601143702,1,TB13,3200,2000,1573.77
601143704,1,TB08,2400,0,2347.82
601143704,1,TB13,1700,1700,836.06
601143705,1,TB08,1000,0,978.26
601148502,1,TB08,1100,1100,1076.08
601148502,1,TB12,1200,0,586.95
601160306,1,TB08,1500,0,1467.39
601168002,1,TB02,407,0,1181.61
601168002,1,TB03,256,0,743.22
601168002,1,TB04,250,0,725.8
601168002,1,TB05,1000,0,2903.22
601168002,1,TB08,4380,2070,4284.78
601168002,1,TR01,400,0,1161.29
601168002,1,TB13,3450,0,1687.49
601168002,1,TB01,3875,0,11249.99
601168004,1,TR11,2800,2800,1369.56
601168005,1,TB08,380,0,371.73
601177202,1,TB11,3800,1400,1889.5
601177202,1,TB05,1000,0,2903.22
601177202,1,TB07,739,0,2145.48
601177202,1,TB08,2020,1250,1976.08
601177202,1,TB10,1600,1600,1565.21
601180601,1,TB02,262,0,786
601180603,1,TB08,1998,1998,1954.56
601180603,1,TB02,650,0,1950
601181705,1,TB08,1350,1350,1320.65
601186501,1,TB03,530,0,1538.7
601186501,1,TB05,600,0,1741.93
601186501,1,TB02,420,0,1219.35
601186501,1,TB08,2600,2600,2543.47
601186503,1,TB13,16500,1400,8070.65
601186503,1,TB11,15500,600,7581.52
601187801,1,TB09,400,400,391.3
601187801,1,TB08,1700,0,1663.04
601187805,1,TB08,600,0,586.95
601187805,1,TB09,400,0,391.3
601187806,1,TB11,6500,0,3196.72
601200305,1,TB11,19000,1060,9293.47
601204001,1,TB08,1700,1700,1663.04
601204002,1,TB09,1400,0,1369.56
601204002,1,TB08,2500,0,2445.65
601204005,1,TB05,3500,0,10161.29
601207603,1,TB04,900,0,2700
601207603,1,TB08,3570,1120,3492.39
601207603,1,TB11,2350,0,1155.73
601207603,1,TB13,2300,0,1131.14
601207606,1,TB02,503,0,1509
601207606,1,TB03,161,0,483
601213502,1,TB08,5004,1650,4895.21
601213503,1,TB08,3815,40,3732.06
601213503,1,TB01,120,0,348.38
601213503,1,TB03,295,0,856.45
601213503,1,TB05,600,0,1741.93
601213503,1,TB09,15,15,14.67
601213503,1,TR01,340,0,987.09
601213503,1,TB10,590,0,577.17
601213503,1,TB02,226,0,656.12
601213504,1,TB12,18000,0,8804.34
601213504,1,TB08,500,0,489.13
601213505,1,TB13,500,0,244.56
601213505,1,TB12,1500,0,733.69
601213505,1,TB08,5970,0,5840.21
601230803,1,TB08,4294,1796,4200.65
601230803,1,TB15,21000,3500,10327.86
601243401,1,TB08,850,850,831.52
601243402,1,TB08,3080,0,3013.04
601243402,1,TB12,2500,0,1222.82
601243403,1,TR01,295,0,856.45
601246301,1,TB11,9300,1500,4548.91
601246306,1,TB12,1200,200,586.95
601249003,1,TB13,39600,0,19369.56
601249005,1,TB02,163,0,473.22
601249005,1,TB03,121,0,351.29
601273319,1,TB11,2155,155,1054.07
601273323,1,TB12,6000,6000,2934.78
601273416,1,TB11,9700,0,4744.56
601273416,1,TB12,8800,0,4304.34
601273806,1,TB08,2100,0,2054.34
601273908,1,TB11,3800,316,1858.69
601296209,1,TB08,1900,0,1858.69
601296212,1,TB08,1000,0,978.26
601296614,1,TB11,11800,0,5803.27
601296720,1,TB02,246,0,738
601296720,1,TB03,173,0,519
601297501,1,TB11,8690,0,4250.54
601297501,1,TB13,1620,1620,792.39
601297808,1,TB08,150,150,146.73
601297812,1,TB09,1900,0,1858.69
601297812,1,TB13,2800,0,1377.04
601297812,1,TB11,3900,0,1918.03
601297812,1,TB08,1750,0,1711.95
601297913,1,TB05,2750,0,7983.87
601297913,1,TB08,2020,1500,1976.08
601297916,1,TB10,700,700,684.78
601297916,1,TB13,500,500,244.56
601297916,1,TB04,1800,0,5225.8
601297916,1,TB07,4477,0,12997.74
601297916,1,TB08,4120,4120,4030.43
601297917,1,TB11,6500,0,3179.34
601297917,1,TB08,2330,1280,2279.34
