folioviv,foliohog,numren,id_trabajo,trapais,subor,indep,personal,pago,contrato,tipocontr,pres_1,pres_2,pres_3,pres_4,pres_5,pres_6,pres_7,pres_8,pres_9,pres_10,pres_11,pres_12,pres_13,pres_14,pres_15,pres_16,pres_17,pres_18,pres_19,pres_20,pres_21,pres_22,pres_23,pres_24,pres_25,pres_26,htrab,sinco,scian,clas_emp,tam_emp,no_ing,tiene_suel,tipoact,socios,soc_nr1,soc_nr2,soc_resp,otra_act,tipoact2,tipoact3,tipoact4,lugar,conf_pers
100998702,1,2,1,1,1,,,1,1,2,,2,,,,,7,8,9,,11,12,13,14,15,,17,18,,,,,23,24,,,40,2321,6132,3,10,,,,,,,,,,,,,
100998702,1,3,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3,2543,5411,1,2,,,,,,,,,,,,,
100998703,1,1,1,1,1,,,1,1,2,,,,,,,,8,9,,,,,,,,,,19,,,,,,,,60,9623,7221,1,3,,,,,,,,,,,,,
100998703,1,2,1,1,1,,,1,1,2,1,,,,,,7,8,9,,11,,13,,,,,,,,,,23,24,,,48,9621,7131,1,7,,,,,,,,,,,,,
100998703,1,3,1,1,1,,,1,1,2,1,,,,,,7,8,9,10,11,12,13,14,15,,17,,,,,,23,24,,,48,4211,4681,1,5,,,,,,,,,,,,,
100998704,1,2,1,1,1,,,1,1,1,1,,,,,,7,8,9,,11,12,13,14,15,,17,,,,21,,23,24,,,40,2271,9312,4,11,,,,,,,,,,,,,
100998705,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,5114,7221,,2,,2,3,2,,,,2,,,,,
100998705,1,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,5212,8121,,2,,2,3,2,,,,2,,,,,
100998706,1,1,1,1,1,,,1,1,2,1,,,,,,7,8,9,10,11,12,13,14,,,17,,,,,,23,24,,,54,1511,8111,1,4,,,,,,,,,,,,,
100998706,1,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4224,4690,,2,,2,2,2,,,,2,,,,,
100998706,1,2,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,23,8341,3110,1,2,,,,,,,,,,,,,
101000902,1,1,1,1,1,,,1,1,2,1,,,,,,7,8,9,,11,,,14,,,17,,,,,,,,,,72,5116,7221,1,2,,,,,,,,,,,,,
101000902,1,2,1,1,1,,,1,2,,,,,,,,,8,,,,,,,,,,,,,,,,,,,48,9231,3320,1,2,,,,,,,,,,,,,
101000902,1,3,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,54,9411,7221,1,3,,,,,,,,,,,,,
101000903,1,1,1,1,1,,,1,2,,1,,,,,,7,8,9,10,11,,,14,,16,17,,,,,,23,,,,96,8342,4850,1,2,,,,,,,,,,,,,
101000903,1,2,1,1,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4211,4611,1,2,,,,,,,,,,,,,
